true_values,predicted_values
0.5712644,0.5740797
0.56867814,0.5754448
0.5657088,0.57535636
0.56484675,0.5743209
0.56302685,0.57443726
0.56867814,0.5704406
0.5657088,0.5717358
0.56484675,0.57173747
0.56302685,0.57071906
0.5591954,0.57087994
0.5657088,0.567716
0.56484675,0.56900555
0.56302685,0.56909287
0.5591954,0.56816536
0.55584294,0.56834054
0.56484675,0.56489515
0.56302685,0.566105
0.5591954,0.56631446
0.55584294,0.56539303
0.55296934,0.56557035
0.56302685,0.5640515
0.5591954,0.5652938
0.55584294,0.5655983
0.55296934,0.56478107
0.5501916,0.5650339
0.5591954,0.5627524
0.55584294,0.56402284
0.55296934,0.56444836
0.5501916,0.5637342
0.54693484,0.564109
0.55584294,0.5594257
0.55296934,0.5606739
0.5501916,0.56111276
0.54693484,0.56040835
0.544636,0.56071144
0.55296934,0.5564234
0.5501916,0.55761856
0.54693484,0.55812395
0.544636,0.5574239
0.5421456,0.5576176
0.5501916,0.55335677
0.54693484,0.5544933
0.544636,0.5549743
0.5421456,0.55421925
0.5393678,0.5543821
0.54693484,0.5507465
0.544636,0.55176973
0.5421456,0.55221283
0.5393678,0.551514
0.53706896,0.551691
0.544636,0.54762125
0.5421456,0.54846734
0.5393678,0.5489876
0.53706896,0.54832345
0.5341954,0.548481
0.5421456,0.54523766
0.5393678,0.5459831
0.53706896,0.5465624
0.5341954,0.5459414
0.53170496,0.5459834
0.5393678,0.5425291
0.53706896,0.5431949
0.5341954,0.54381627
0.53170496,0.54312146
0.52988505,0.5430967
0.53706896,0.53994155
0.5341954,0.5405401
0.53170496,0.5410593
0.52988505,0.5403439
0.5291188,0.5402928
0.5341954,0.53776777
0.53170496,0.5381895
0.52988505,0.53871036
0.5291188,0.5380293
0.52528733,0.5379839
0.53170496,0.5347471
0.52988505,0.53509104
0.5291188,0.53560185
0.52528733,0.53492624
0.5218391,0.5347787
0.52988505,0.53214467
0.5291188,0.53243744
0.52528733,0.532958
0.5218391,0.5322404
0.5186782,0.5320547
0.5291188,0.53021395
0.52528733,0.53043956
0.5218391,0.5309236
0.5186782,0.53026366
0.51657087,0.5300479
0.52528733,0.529239
0.5218391,0.52931345
0.5186782,0.52984697
0.51657087,0.5292278
0.5162835,0.52901787
0.5218391,0.5255729
0.5186782,0.5255781
0.51657087,0.52603906
0.5162835,0.52539396
0.5127395,0.5250959
0.5186782,0.52208376
0.51657087,0.5219408
0.5162835,0.5223063
0.5127395,0.52162033
0.5095785,0.521228
0.51657087,0.5187863
0.5162835,0.51848143
0.5127395,0.5187725
0.5095785,0.5180623
0.5061303,0.51759446
0.5162835,0.51676095
0.5127395,0.5162691
0.5095785,0.51650804
0.5061303,0.51578754
0.50373566,0.5152459
0.5127395,0.51656944
0.5095785,0.51585066
