true_values,predicted_values
0.5712644,0.57233655
0.56867814,0.57848346
0.5657088,0.57920337
0.56484675,0.5796778
0.56302685,0.5808432
0.56867814,0.56874585
0.5657088,0.5748502
0.56484675,0.57562083
0.56302685,0.57616824
0.5591954,0.5774144
0.5657088,0.56638175
0.56484675,0.5724472
0.56302685,0.5732605
0.5591954,0.57392347
0.55584294,0.5752073
0.56484675,0.56384885
0.56302685,0.56982136
0.5591954,0.5706894
0.55584294,0.5713693
0.55296934,0.57266456
0.56302685,0.5635581
0.5591954,0.56938696
0.55584294,0.5702568
0.55296934,0.571023
0.5501916,0.5724464
0.5591954,0.5626585
0.55584294,0.5682875
0.55296934,0.56911415
0.5501916,0.569968
0.54693484,0.57155514
0.55584294,0.5590531
0.55296934,0.56463104
0.5501916,0.5654236
0.54693484,0.56636524
0.544636,0.56793165
0.55296934,0.55588543
0.5501916,0.5613446
0.54693484,0.5621528
0.544636,0.5631522
0.5421456,0.564587
0.5501916,0.5527912
0.54693484,0.558194
0.544636,0.5589148
0.5421456,0.5598762
0.5393678,0.56133187
0.54693484,0.5502549
0.544636,0.5555081
0.5421456,0.5560915
0.5393678,0.557115
0.53706896,0.5586395
0.544636,0.5472053
0.5421456,0.55227566
0.5393678,0.552843
0.53706896,0.55392206
0.5341954,0.55544865
0.5421456,0.54491854
0.5393678,0.5498897
0.53706896,0.55043375
0.5341954,0.55161417
0.53170496,0.55294573
0.5393678,0.54231757
0.53706896,0.5471746
0.5341954,0.54775447
0.53170496,0.54884064
0.52988505,0.5500591
0.53706896,0.53984064
0.5341954,0.54462826
0.53170496,0.54502183
0.52988505,0.5460799
0.5291188,0.5472981
0.5341954,0.5377837
0.53170496,0.5423392
0.52988505,0.5426562
0.5291188,0.543753
0.52528733,0.54499996
0.53170496,0.53463143
0.52988505,0.53908706
0.5291188,0.53938675
0.52528733,0.5405651
0.5218391,0.5416887
0.52988505,0.5320493
0.5291188,0.53642696
0.52528733,0.53669083
0.5218391,0.5378519
0.5186782,0.5389754
0.5291188,0.5305009
0.52528733,0.5348012
0.5218391,0.5349568
0.5186782,0.5361924
0.51657087,0.5372625
0.52528733,0.53005344
0.5218391,0.5340521
0.5186782,0.534199
0.51657087,0.5354432
0.5162835,0.53653723
0.5218391,0.5262334
0.5186782,0.5302274
0.51657087,0.530328
0.5162835,0.53156507
0.5127395,0.5325587
0.5186782,0.522514
0.51657087,0.52649665
0.5162835,0.52656794
0.5127395,0.5277815
0.5095785,0.5286794
0.51657087,0.51916295
0.5162835,0.5231006
0.5127395,0.5231247
0.5095785,0.52431417
0.5061303,0.52514195
0.5162835,0.5173078
0.5127395,0.52109814
0.5095785,0.52106714
0.5061303,0.52222836
0.50373566,0.5229492
0.5127395,0.5175808
0.5095785,0.52110344
0.5061303,0.52099085
0.50373566,0.5221214
0.5012452,0.52294225
0.5095785,0.5140426
0.5061303,0.5173847
0.50373566,0.5171498
0.5012452,0.51827526
0.4994253,0.5191356
0.5061303,0.51119316
0.50373566,0.5143277
0.5012452,0.514079
0.4994253,0.5151734
0.497318,0.51613
0.50373566,0.5075923
0.5012452,0.5106103
0.4994253,0.5103525
0.497318,0.51139665
0.49645594,0.5123279
0.5012452,0.5052829
0.4994253,0.5081444
0.497318,0.5078343
0.49645594,0.5088326
0.4954023,0.5097768
0.4994253,0.5028075
0.497318,0.5056521
0.49645594,0.5052378
0.4954023,0.5062215
0.49655172,0.5071717
0.497318,0.5013055
0.49645594,0.50401306
0.4954023,0.5035219
0.49655172,0.5045097
0.49588123,0.5055158
0.49645594,0.49936262
0.4954023,0.501987
0.49655172,0.501468
0.49588123,0.5024365
0.49511495,0.5034716
0.4954023,0.49894497
0.49655172,0.50141406
0.49588123,0.5008962
0.49511495,0.5018401
0.49434865,0.502866
0.49655172,0.4979441
0.49588123,0.500262
0.49511495,0.49967515
0.49434865,0.5005525
0.49425286,0.5016264
0.49588123,0.49997285
0.49511495,0.50197875
0.49434865,0.50128937
0.49425286,0.5021899
0.4948276,0.5032866
0.49511495,0.49976546
0.49434865,0.5016761
0.49425286,0.5009901
0.4948276,0.50187147
0.4954023,0.50301033
0.49434865,0.4995009
0.49425286,0.5014056
0.4948276,0.50065905
0.4954023,0.50158405
0.4966475,0.5027724
0.49425286,0.49839565
0.4948276,0.5002599
0.4954023,0.49940202
0.4966475,0.5003108
0.4993295,0.5015405
0.4948276,0.49824342
0.4954023,0.5000371
0.4966475,0.49902642
0.4993295,0.4999881
0.50143677,0.50122756
0.4954023,0.49900693
0.4966475,0.5006205
0.4993295,0.49963376
0.50143677,0.5005778
0.50431037,0.50178283
0.4966475,0.50013745
0.4993295,0.5016487
0.50143677,0.5006236
0.50431037,0.5015432
0.5078544,0.5027602
0.4993295,0.50292116
0.50143677,0.5041791
0.50431037,0.5030928
0.5078544,0.50391483
0.51072794,0.50521094
0.50143677,0.5068294
0.50431037,0.50773054
0.5078544,0.50658077
0.51072794,0.5075045
0.5138889,0.50883615
0.50431037,0.509365
0.5078544,0.5101239
0.51072794,0.5090361
0.5138889,0.5100887
0.51791185,0.5114296
0.5078544,0.51298785
0.51072794,0.51372546
0.5138889,0.5126867
0.51791185,0.5138458
0.5227969,0.5151813
0.51072794,0.51781213
0.5138889,0.5183449
0.51791185,0.51735747
0.5227969,0.51849973
0.52672416,0.5199466
0.5138889,0.52150416
0.51791185,0.5221257
0.5227969,0.52129143
0.52672416,0.5225772
0.53055555,0.52413225
0.51791185,0.52564406
0.5227969,0.5266526
0.52672416,0.5261869
0.53055555,0.527691
0.53352493,0.52930844
0.5227969,0.53065854
0.52672416,0.53261554
0.53055555,0.5328419
0.53352493,0.5346526
0.5374521,0.5365087
0.52672416,0.5375638
0.53055555,0.54105073
0.53352493,0.54221463
0.5374521,0.5446307
0.54195404,0.5467994
0.53055555,0.542199
0.53352493,0.54664123
0.5374521,0.54853
0.54195404,0.55136037
0.54511493,0.55377704
0.53352493,0.546018
0.5374521,0.5510778
0.54195404,0.5533232
0.54511493,0.5564757
0.5495211,0.5590094
0.5374521,0.54858613
0.54195404,0.55397296
0.54511493,0.5564612
0.5495211,0.5597844
0.55402297,0.5623868
0.54195404,0.55230993
0.54511493,0.5579936
0.5495211,0.56061375
0.55402297,0.5640049
0.5585249,0.566644
0.54511493,0.5567346
0.5495211,0.5627045
0.55402297,0.56551117
0.5585249,0.5689404
0.56341,0.5715709
0.5495211,0.5583332
0.55402297,0.5644734
0.5585249,0.56743306
0.56341,0.57081676
0.5677203,0.5733463
0.55402297,0.5615437
0.5585249,0.56794786
0.56341,0.5710436
0.5677203,0.57443506
0.5728927,0.57684636
0.5585249,0.5646547
0.56341,0.5713294
0.5677203,0.5745167
0.5728927,0.5779471
0.5772989,0.580289
0.56341,0.5675935
0.5677203,0.574528
0.5728927,0.57777005
0.5772989,0.5812898
0.5795019,0.58357406
0.5677203,0.57089096
0.5728927,0.57806814
0.5772989,0.5815265
0.5795019,0.58509797
0.5826628,0.5873463
0.5728927,0.57321167
0.5772989,0.58072543
0.5795019,0.58439255
0.5826628,0.588026
0.58716476,0.59019756
0.5772989,0.5769768
0.5795019,0.58474076
0.5826628,0.5886275
0.58716476,0.5922359
0.5901341,0.5943458
0.5795019,0.5795638
0.5826628,0.58762693
