config,model_structure.sequence_length,model_structure.hidden_size,model_structure.num_layers,hyperparameters.learning_rate,data.batch_size,train_loss,val_loss
config_LSTM_L_1_ID_0.yaml,10,32,1,0.01,1000,0.021486174315214157,0.044920437037944794
config_LSTM_L_1_ID_1.yaml,10,32,1,0.01,1500,0.019029028713703156,0.04487583
config_LSTM_L_1_ID_2.yaml,10,32,1,0.01,2000,0.019364798441529274,0.045093942
config_LSTM_L_1_ID_3.yaml,10,32,1,0.008,1000,0.021517869,0.046159897
config_LSTM_L_1_ID_4.yaml,10,32,1,0.008,1500,0.018750714138150215,0.044518556
config_LSTM_L_1_ID_5.yaml,10,32,1,0.008,2000,0.020670432597398758,0.0482754
config_LSTM_L_1_ID_6.yaml,10,32,1,0.006,1000,0.020459424704313278,0.045976646
config_LSTM_L_1_ID_7.yaml,10,32,1,0.006,1500,0.018839082,0.044551894
config_LSTM_L_1_ID_8.yaml,10,32,1,0.006,2000,0.020226955,0.047036603
config_LSTM_L_2_ID_9.yaml,10,32,2,0.01,1000,0.021118352189660072,0.044809014
config_LSTM_L_2_ID_10.yaml,10,32,2,0.01,1500,0.019247651,0.045722078531980515
config_LSTM_L_2_ID_11.yaml,10,32,2,0.01,2000,0.019127976149320602,0.046536785
config_LSTM_L_2_ID_12.yaml,10,32,2,0.008,1000,0.020953452214598656,0.045400146
config_LSTM_L_2_ID_13.yaml,10,32,2,0.008,1500,0.019485171884298325,0.045267977
config_LSTM_L_2_ID_14.yaml,10,32,2,0.008,2000,0.019477618858218193,0.046135381
config_LSTM_L_2_ID_15.yaml,10,32,2,0.006,1000,0.021061500534415245,0.044671658
config_LSTM_L_2_ID_16.yaml,10,32,2,0.006,1500,0.018685922026634216,0.045248535
config_LSTM_L_2_ID_17.yaml,10,32,2,0.006,2000,0.044546034187078476,0.051131092
config_LSTM_L_1_ID_18.yaml,10,96,1,0.01,1000,0.019870035350322723,0.043466181
config_LSTM_L_1_ID_19.yaml,10,96,1,0.01,1500,0.019657252356410027,0.044744227
config_LSTM_L_1_ID_20.yaml,10,96,1,0.01,2000,0.020183607935905457,0.046791717410087585
config_LSTM_L_1_ID_21.yaml,10,96,1,0.008,1000,0.021057479083538055,0.04472506
config_LSTM_L_1_ID_22.yaml,10,96,1,0.008,1500,0.02053564,0.046474672853946686
config_LSTM_L_1_ID_23.yaml,10,96,1,0.008,2000,0.022741316,0.047733135521411896
config_LSTM_L_1_ID_24.yaml,10,96,1,0.006,1000,0.020286707,0.043372776
config_LSTM_L_1_ID_25.yaml,10,96,1,0.006,1500,0.020236434414982796,0.044611368
config_LSTM_L_1_ID_26.yaml,10,96,1,0.006,2000,0.020313617,0.046884503215551376
config_LSTM_L_2_ID_27.yaml,10,96,2,0.01,1000,0.020749213,0.046332531
config_LSTM_L_2_ID_28.yaml,10,96,2,0.01,1500,0.028786703944206238,0.049254689
config_LSTM_L_2_ID_29.yaml,10,96,2,0.01,2000,0.020993635058403015,0.054675028
config_LSTM_L_2_ID_30.yaml,10,96,2,0.008,1000,0.021285995841026306,0.045864992
config_LSTM_L_2_ID_31.yaml,10,96,2,0.008,1500,0.019695822149515152,0.045401275
config_LSTM_L_2_ID_32.yaml,10,96,2,0.008,2000,0.022155189886689186,0.04640365
config_LSTM_L_2_ID_33.yaml,10,96,2,0.006,1000,0.020706611,0.045781728
config_LSTM_L_2_ID_34.yaml,10,96,2,0.006,1500,0.019179288297891617,0.044948686
config_LSTM_L_2_ID_35.yaml,10,96,2,0.006,2000,0.030401491,0.050390869
config_LSTM_L_1_ID_36.yaml,10,160,1,0.01,1000,0.020047975704073906,0.04475189
config_LSTM_L_1_ID_37.yaml,10,160,1,0.01,1500,0.024439895525574684,0.047647733241319656
config_LSTM_L_1_ID_38.yaml,10,160,1,0.01,2000,0.023081598803400993,0.051994015
config_LSTM_L_1_ID_39.yaml,10,160,1,0.008,1000,0.020280292257666588,0.04467579
config_LSTM_L_1_ID_40.yaml,10,160,1,0.008,1500,0.019430501386523247,0.044719871
config_LSTM_L_1_ID_41.yaml,10,160,1,0.008,2000,0.020799128338694572,0.049370210617780685
config_LSTM_L_1_ID_42.yaml,10,160,1,0.006,1000,0.026492878794670105,0.051509291
config_LSTM_L_1_ID_43.yaml,10,160,1,0.006,1500,0.018542068,0.044903550297021866
config_LSTM_L_1_ID_44.yaml,10,160,1,0.006,2000,0.021549750119447708,0.048424471
config_LSTM_L_2_ID_45.yaml,10,160,2,0.01,1000,0.021292506,0.046644121408462524
config_LSTM_L_2_ID_46.yaml,10,160,2,0.01,1500,0.020707892,0.047577024
config_LSTM_L_2_ID_47.yaml,10,160,2,0.01,2000,0.020128434523940086,0.052605364471673965
config_LSTM_L_2_ID_48.yaml,10,160,2,0.008,1000,0.021270243,0.046062067
config_LSTM_L_2_ID_49.yaml,10,160,2,0.008,1500,0.020001323893666267,0.047469448298215866
config_LSTM_L_2_ID_50.yaml,10,160,2,0.008,2000,0.023236766457557678,0.052301366
config_LSTM_L_2_ID_51.yaml,10,160,2,0.006,1000,0.02081272,0.045767263
config_LSTM_L_2_ID_52.yaml,10,160,2,0.006,1500,0.019928719848394394,0.045966502
config_LSTM_L_2_ID_53.yaml,10,160,2,0.006,2000,0.025030587,0.050642982
config_LSTM_L_1_ID_54.yaml,10,224,1,0.01,1000,0.020177567,0.045245662331581116
config_LSTM_L_1_ID_55.yaml,10,224,1,0.01,1500,0.021185562014579773,0.046783213
config_LSTM_L_1_ID_56.yaml,10,224,1,0.01,2000,0.021583464,0.055790227
config_LSTM_L_1_ID_57.yaml,10,224,1,0.008,1000,0.02087165,0.04462564
config_LSTM_L_1_ID_58.yaml,10,224,1,0.008,1500,0.021486543118953705,0.045153838
config_LSTM_L_1_ID_59.yaml,10,224,1,0.008,2000,0.020624035969376564,0.049315646290779114
config_LSTM_L_1_ID_60.yaml,10,224,1,0.006,1000,0.020583152770996094,0.044398851692676544
config_LSTM_L_1_ID_61.yaml,10,224,1,0.006,1500,0.021220228,0.045733422
config_LSTM_L_1_ID_62.yaml,10,224,1,0.006,2000,0.021618954837322235,0.04608598
config_LSTM_L_2_ID_63.yaml,10,224,2,0.01,1000,0.020982556,0.046216305
config_LSTM_L_2_ID_64.yaml,10,224,2,0.01,1500,0.020049121230840683,0.047320962
config_LSTM_L_2_ID_65.yaml,10,224,2,0.01,2000,0.036516067,0.053515427
config_LSTM_L_2_ID_66.yaml,10,224,2,0.008,1000,0.021059597,0.045377615839242935
config_LSTM_L_2_ID_67.yaml,10,224,2,0.008,1500,0.019106736406683922,0.046696290373802185
config_LSTM_L_2_ID_68.yaml,10,224,2,0.008,2000,0.030773742124438286,0.054995049
config_LSTM_L_2_ID_69.yaml,10,224,2,0.006,1000,0.020997855812311172,0.044922061
config_LSTM_L_2_ID_70.yaml,10,224,2,0.006,1500,0.020439925,0.046083383
config_LSTM_L_2_ID_71.yaml,10,224,2,0.006,2000,0.023798339068889618,0.050478417
config_LSTM_L_1_ID_72.yaml,10,288,1,0.01,1000,0.020151643082499504,0.042857669
config_LSTM_L_1_ID_73.yaml,10,288,1,0.01,1500,0.019748125225305557,0.046844866
config_LSTM_L_1_ID_74.yaml,10,288,1,0.01,2000,0.028413145,0.048350357
config_LSTM_L_1_ID_75.yaml,10,288,1,0.008,1000,0.021743183955550194,0.044899679720401764
config_LSTM_L_1_ID_76.yaml,10,288,1,0.008,1500,0.020870414,0.048826392740011215
config_LSTM_L_1_ID_77.yaml,10,288,1,0.008,2000,0.021940628066658974,0.053803127
config_LSTM_L_1_ID_78.yaml,10,288,1,0.006,1000,0.021008729934692383,0.046845223754644394
config_LSTM_L_1_ID_79.yaml,10,288,1,0.006,1500,0.020036110654473305,0.049570501
config_LSTM_L_1_ID_80.yaml,10,288,1,0.006,2000,0.020977201,0.049000405
config_LSTM_L_2_ID_81.yaml,10,288,2,0.01,1000,0.021253587678074837,0.046720586717128754
config_LSTM_L_2_ID_82.yaml,10,288,2,0.01,1500,0.01947942,0.046273764222860336
config_LSTM_L_2_ID_83.yaml,10,288,2,0.01,2000,0.036683798,0.049386185
config_LSTM_L_2_ID_84.yaml,10,288,2,0.008,1000,0.020723441615700722,0.047569681
config_LSTM_L_2_ID_85.yaml,10,288,2,0.008,1500,0.1541871279478073,0.18048469722270966
config_LSTM_L_2_ID_86.yaml,10,288,2,0.008,2000,0.1484571397304535,0.080868661
config_LSTM_L_2_ID_87.yaml,10,288,2,0.006,1000,0.025764834135770798,0.049772851169109344
config_LSTM_L_2_ID_88.yaml,10,288,2,0.006,1500,0.020961847,0.046815228
config_LSTM_L_2_ID_89.yaml,10,288,2,0.006,2000,0.03330107,0.053698808
config_LSTM_L_1_ID_90.yaml,30,32,1,0.01,1000,0.019571442157030106,0.041332688
config_LSTM_L_1_ID_91.yaml,30,32,1,0.01,1500,0.022970125079154968,0.046719953417778015
config_LSTM_L_1_ID_92.yaml,30,32,1,0.01,2000,0.019355021,0.044465359300374985
config_LSTM_L_1_ID_93.yaml,30,32,1,0.008,1000,0.019351763650774956,0.041415621
config_LSTM_L_1_ID_94.yaml,30,32,1,0.008,1500,0.019040326,0.041361686
config_LSTM_L_1_ID_95.yaml,30,32,1,0.008,2000,0.019200101494789124,0.043152031
config_LSTM_L_1_ID_96.yaml,30,32,1,0.006,1000,0.019328085705637932,0.04037638
config_LSTM_L_1_ID_97.yaml,30,32,1,0.006,1500,0.018902616575360298,0.042095147
config_LSTM_L_1_ID_98.yaml,30,32,1,0.006,2000,0.021646473556756973,0.044368766248226166
config_LSTM_L_2_ID_99.yaml,30,32,2,0.01,1000,0.018880473,0.040509012
config_LSTM_L_2_ID_100.yaml,30,32,2,0.01,1500,0.017640668898820877,0.040594403
config_LSTM_L_2_ID_101.yaml,30,32,2,0.01,2000,0.018802789971232414,0.043091208
config_LSTM_L_2_ID_102.yaml,30,32,2,0.008,1000,0.019119138,0.042030081152915955
config_LSTM_L_2_ID_103.yaml,30,32,2,0.008,1500,0.018151633,0.040947825
config_LSTM_L_2_ID_104.yaml,30,32,2,0.008,2000,0.018693313002586365,0.042284302
config_LSTM_L_2_ID_105.yaml,30,32,2,0.006,1000,0.019750094041228294,0.041780252
config_LSTM_L_2_ID_106.yaml,30,32,2,0.006,1500,0.017404526472091675,0.040995046496391296
config_LSTM_L_2_ID_107.yaml,30,32,2,0.006,2000,0.019614208,0.045892719
config_LSTM_L_1_ID_108.yaml,30,96,1,0.01,1000,0.019139384850859642,0.041430477
config_LSTM_L_1_ID_109.yaml,30,96,1,0.01,1500,0.020164398476481438,0.044844672083854675
config_LSTM_L_1_ID_110.yaml,30,96,1,0.01,2000,0.02365599,0.051148131
config_LSTM_L_1_ID_111.yaml,30,96,1,0.008,1000,0.019161732867360115,0.040866993
config_LSTM_L_1_ID_112.yaml,30,96,1,0.008,1500,0.02028293,0.043631181
config_LSTM_L_1_ID_113.yaml,30,96,1,0.008,2000,0.03253508,0.054237872
config_LSTM_L_1_ID_114.yaml,30,96,1,0.006,1000,0.019523084,0.041910872
config_LSTM_L_1_ID_115.yaml,30,96,1,0.006,1500,0.01961115,0.043491750955581665
config_LSTM_L_1_ID_116.yaml,30,96,1,0.006,2000,0.020930355414748192,0.050339613
config_LSTM_L_2_ID_117.yaml,30,96,2,0.01,1000,0.019426689,0.041994855
config_LSTM_L_2_ID_118.yaml,30,96,2,0.01,1500,0.018774811178445816,0.04227379
config_LSTM_L_2_ID_119.yaml,30,96,2,0.01,2000,0.021713521,0.050508842
config_LSTM_L_2_ID_120.yaml,30,96,2,0.008,1000,0.019114121794700623,0.040730807930231094
config_LSTM_L_2_ID_121.yaml,30,96,2,0.008,1500,0.022336822003126144,0.043313131
config_LSTM_L_2_ID_122.yaml,30,96,2,0.008,2000,0.023786923,0.049375515431165695
config_LSTM_L_2_ID_123.yaml,30,96,2,0.006,1000,0.019005825743079185,0.040852062
config_LSTM_L_2_ID_124.yaml,30,96,2,0.006,1500,0.018921647,0.043497674
config_LSTM_L_2_ID_125.yaml,30,96,2,0.006,2000,0.021570988,0.04915994
config_LSTM_L_1_ID_126.yaml,30,160,1,0.01,1000,0.026333356276154518,0.043181683868169785
config_LSTM_L_1_ID_127.yaml,30,160,1,0.01,1500,0.021912597119808197,0.046579696238040924
config_LSTM_L_1_ID_128.yaml,30,160,1,0.01,2000,0.3225056529045105,0.13257558643817902
config_LSTM_L_1_ID_129.yaml,30,160,1,0.008,1000,0.022197831,0.04563408
config_LSTM_L_1_ID_130.yaml,30,160,1,0.008,1500,0.021885426715016365,0.04705403
config_LSTM_L_1_ID_131.yaml,30,160,1,0.008,2000,0.06023046,0.11024940013885498
config_LSTM_L_1_ID_132.yaml,30,160,1,0.006,1000,0.022429265081882477,0.046724796295166016
config_LSTM_L_1_ID_133.yaml,30,160,1,0.006,1500,0.021055536344647408,0.043863207
