config,model_structure.sequence_length,model_structure.hidden_size,model_structure.num_layers,hyperparameters.learning_rate,data.batch_size,train_loss,val_loss
config_GRU_L_1_ID_0.yaml,50,32,1,0.02,1000,0.04102751985192299,0.08004338294267654
config_GRU_L_1_ID_1.yaml,50,32,1,0.01,1000,0.030171984806656837,0.05126152187585831
config_GRU_L_1_ID_2.yaml,50,32,1,0.008,1000,0.027284739539027214,0.04823128134012222
config_GRU_L_1_ID_3.yaml,50,32,1,0.001,1000,0.022090084850788116,0.04737222567200661
config_GRU_L_2_ID_4.yaml,50,32,2,0.02,1000,0.026827901601791382,0.049145761877298355
config_GRU_L_2_ID_5.yaml,50,32,2,0.01,1000,0.028815023601055145,0.05525965988636017
config_GRU_L_2_ID_6.yaml,50,32,2,0.008,1000,0.026782717555761337,0.04759042710065842
config_GRU_L_2_ID_7.yaml,50,32,2,0.001,1000,0.022021066397428513,0.04558422043919563
config_GRU_L_1_ID_8.yaml,50,288,1,0.02,1000,4.657515048980713,6.1979146003723145
config_GRU_L_1_ID_9.yaml,50,288,1,0.01,1000,1.3066316843032837,3.5048811435699463
config_GRU_L_1_ID_10.yaml,50,288,1,0.008,1000,17.357118606567383,4.137775421142578
config_GRU_L_1_ID_11.yaml,50,288,1,0.001,1000,0.030429216101765633,0.05151984095573425
config_GRU_L_2_ID_12.yaml,50,288,2,0.02,1000,27.192113876342773,13.636167526245117
config_GRU_L_2_ID_13.yaml,50,288,2,0.01,1000,7.956162929534912,2.619215488433838
config_GRU_L_2_ID_14.yaml,50,288,2,0.008,1000,2.006272554397583,1.6009244918823242
config_GRU_L_2_ID_15.yaml,50,288,2,0.001,1000,0.024413693696260452,0.05158080533146858
config_GRU_L_1_ID_16.yaml,200,32,1,0.02,1000,0.06956781446933746,0.1263059675693512
config_GRU_L_1_ID_17.yaml,200,32,1,0.01,1000,0.04550258442759514,0.06988305598497391
config_GRU_L_1_ID_18.yaml,200,32,1,0.008,1000,0.037524882704019547,0.06580948829650879
config_GRU_L_1_ID_19.yaml,200,32,1,0.001,1000,0.028623975813388824,0.056598179042339325
config_GRU_L_2_ID_20.yaml,200,32,2,0.02,1000,0.05428895726799965,0.06696654856204987
config_GRU_L_2_ID_21.yaml,200,32,2,0.01,1000,0.03585195913910866,0.054728906601667404
config_GRU_L_2_ID_22.yaml,200,32,2,0.008,1000,0.031128007918596268,0.049137622117996216
config_GRU_L_2_ID_23.yaml,200,32,2,0.001,1000,0.024748196825385094,0.04637179151177406
config_GRU_L_1_ID_24.yaml,200,288,1,0.02,1000,26.193525314331055,38.98887634277344
config_GRU_L_1_ID_25.yaml,200,288,1,0.01,1000,5.547745704650879,12.330373764038086
config_GRU_L_1_ID_26.yaml,200,288,1,0.008,1000,4.888521194458008,12.857145309448242
config_GRU_L_1_ID_27.yaml,200,288,1,0.001,1000,0.03270868584513664,0.07216082513332367
config_GRU_L_2_ID_28.yaml,200,288,2,0.02,1000,59.08654022216797,103.0377426147461
config_GRU_L_2_ID_29.yaml,200,288,2,0.01,1000,16.727144241333008,6.2182841300964355
config_GRU_L_2_ID_30.yaml,200,288,2,0.008,1000,7.6299591064453125,6.711498260498047
config_GRU_L_2_ID_31.yaml,200,288,2,0.001,1000,0.0293510090559721,0.05465824902057648
config_GRU_norm_L_1_ID_0.yaml,50,32,1,0.01,1000,0.05150017887353897,0.09495638310909271
config_GRU_norm_L_1_ID_1.yaml,50,32,1,0.008,1000,0.05339585617184639,0.09516451507806778
config_GRU_norm_L_1_ID_2.yaml,50,32,1,0.005,1000,0.04793676733970642,0.09560524672269821
config_GRU_norm_L_1_ID_3.yaml,50,160,1,0.01,1000,0.8957564830780029,0.4513958990573883
config_GRU_norm_L_1_ID_4.yaml,50,160,1,0.008,1000,0.10359878093004227,0.11318928003311157
config_GRU_norm_L_1_ID_5.yaml,50,160,1,0.005,1000,0.08076230436563492,0.15333473682403564
config_GRU_norm_L_1_ID_6.yaml,200,32,1,0.01,1000,0.07358045876026154,0.09806019067764282
config_GRU_norm_L_1_ID_7.yaml,200,32,1,0.008,1000,0.06915713101625443,0.10206609964370728
config_GRU_norm_L_1_ID_8.yaml,200,32,1,0.005,1000,0.06997302919626236,0.11470728367567062
config_GRU_norm_L_1_ID_9.yaml,200,160,1,0.01,1000,0.21898603439331055,0.31794846057891846
config_GRU_norm_L_1_ID_10.yaml,200,160,1,0.008,1000,5.051347732543945,4.612152576446533
config_GRU_norm_L_1_ID_11.yaml,200,160,1,0.005,1000,0.31781959533691406,0.6844527125358582
config_GRU_norm_fix_noOver40_L_1_ID_0.yaml,50,32,1,0.008,300,0.02806556411087513,0.051789455115795135
config_GRU_norm_fix_noOver40_L_1_ID_1.yaml,50,96,1,0.008,300,0.029460225254297256,0.05487164855003357
config_GRU_norm_fix_noOver40_L_1_ID_2.yaml,50,160,1,0.008,300,0.05803951621055603,0.07794614136219025
config_GRU_norm_fix_noOver40_L_1_ID_3.yaml,50,224,1,0.008,300,0.5212799310684204,0.13142548501491547
config_GRU_norm_fix_noOver40_L_1_ID_4.yaml,50,288,1,0.008,300,0.031950224190950394,0.05120101943612099
config_GRU_norm_fix_noOver40_L_1_ID_5.yaml,150,32,1,0.008,300,0.03348178789019585,0.0563582181930542
config_GRU_norm_fix_noOver40_L_1_ID_6.yaml,150,96,1,0.008,300,0.04974270239472389,0.06961279362440109
config_GRU_norm_fix_noOver40_L_1_ID_7.yaml,150,160,1,0.008,300,0.07511026412248611,0.05943594500422478
config_GRU_norm_fix_noOver40_L_1_ID_8.yaml,150,224,1,0.008,300,1.6382769346237183,1.2962194681167603
config_GRU_norm_fix_noOver40_L_1_ID_9.yaml,150,288,1,0.008,300,27.742982864379883,1.104727029800415
config_GRU_norm_fix_noOver40_L_1_ID_10.yaml,250,32,1,0.008,300,0.14646096527576447,0.08262573927640915
config_GRU_norm_fix_noOver40_L_1_ID_11.yaml,250,96,1,0.008,300,0.15243543684482574,0.10546683520078659
config_GRU_norm_fix_noOver40_L_1_ID_12.yaml,250,160,1,0.008,300,0.11567492038011551,0.1812782734632492
config_GRU_norm_fix_noOver40_L_1_ID_13.yaml,250,224,1,0.008,300,8.244424819946289,3.8622918128967285
config_GRU_norm_fix_noOver40_L_1_ID_14.yaml,250,288,1,0.008,300,0.11356209963560104,0.1445092111825943
config_GRU_norm_fix_noOver40_L_1_ID_15.yaml,350,32,1,0.008,300,0.07600116729736328,0.08665446192026138
config_GRU_norm_fix_noOver40_L_1_ID_16.yaml,350,96,1,0.008,300,0.09828126430511475,0.07406610250473022
config_GRU_norm_fix_noOver40_L_1_ID_17.yaml,350,160,1,0.008,300,0.26529207825660706,0.06729581952095032
config_GRU_norm_fix_noOver40_L_1_ID_18.yaml,350,224,1,0.008,300,0.25574618577957153,0.1927247792482376
config_GRU_norm_fix_noOver40_L_1_ID_19.yaml,350,288,1,0.008,300,15.857053756713867,16.661495208740234
config_GRU_RestTime_L_1_ID_0.yaml,50,32,1,0.01,5000,0.05107617750763893,0.1117711067199707
config_GRU_RestTime_L_1_ID_1.yaml,50,32,1,0.008,5000,0.051438894122838974,0.11628489196300507
config_GRU_RestTime_L_1_ID_2.yaml,50,96,1,0.01,5000,0.05579852685332298,0.12530215084552765
config_GRU_RestTime_L_1_ID_3.yaml,50,96,1,0.008,5000,0.054390229284763336,0.11413497477769852
config_GRU_RestTime_L_1_ID_4.yaml,50,160,1,0.01,5000,0.5384184718132019,0.4624427855014801
config_GRU_RestTime_L_1_ID_5.yaml,50,160,1,0.008,5000,0.39265674352645874,0.6093094348907471
config_GRU_RestTime_L_1_ID_6.yaml,50,224,1,0.01,5000,1.0362557172775269,1.2364290952682495
config_GRU_RestTime_L_1_ID_7.yaml,50,224,1,0.008,5000,1.4896022081375122,1.719760537147522
config_GRU_RestTime_L_1_ID_8.yaml,50,288,1,0.01,5000,0.07091586291790009,0.1269475519657135
config_GRU_RestTime_L_1_ID_9.yaml,50,288,1,0.008,5000,0.821819543838501,1.0625827312469482
config_GRU_RestTime_L_1_ID_10.yaml,200,32,1,0.01,5000,0.05690101534128189,0.11789806932210922
config_GRU_RestTime_L_1_ID_11.yaml,200,32,1,0.008,5000,0.06438487023115158,0.12795135378837585
config_GRU_RestTime_L_1_ID_12.yaml,200,96,1,0.01,5000,0.06652237474918365,0.13275563716888428
config_GRU_RestTime_L_1_ID_13.yaml,200,96,1,0.008,5000,0.060815028846263885,0.12230820953845978
config_GRU_RestTime_L_1_ID_14.yaml,200,160,1,0.01,5000,2.998185873031616,3.2066450119018555
config_GRU_RestTime_L_1_ID_15.yaml,200,160,1,0.008,5000,0.06678430736064911,0.1468539834022522
